0; 1000,00000;data;-4 ;146 ;13 ;6267 ;8650;var;53,00000; 94,00000; 38,00000; 6896,00000; 1035,00000; ;eval;1000,00000;1000,00000;1000,00000;1000,00000;
1; 248,93250;data;54 ;51 ;116 ;7845 ;6968;var;43,46000; 77,08000; 31,16000; 5654,72000; 848,70000; ;eval;190,92000;205,19000;213,46000;386,16000;
2; 248,93250;data;54 ;51 ;116 ;7845 ;6968;var;35,63720; 63,20560; 25,55120; 4636,87040; 695,93400; ;eval;190,92000;205,19000;213,46000;386,16000;
3; 221,76250;data;71 ;67 ;116 ;2547 ;6893;var;29,22250; 51,82859; 20,95198; 3802,23373; 570,66588; ;eval;165,11000;196,06000;173,93000;351,95000;
4; 221,76250;data;71 ;67 ;116 ;2547 ;6893;var;23,96245; 42,49945; 17,18063; 3117,83166; 467,94602; ;eval;165,11000;196,06000;173,93000;351,95000;
5; 221,76250;data;71 ;67 ;116 ;2547 ;6893;var;19,64921; 34,84955; 14,08811; 2556,62196; 383,71574; ;eval;165,11000;196,06000;173,93000;351,95000;
6; 221,76250;data;71 ;67 ;116 ;2547 ;6893;var;16,11235; 28,57663; 11,55225; 2096,43001; 314,64690; ;eval;165,11000;196,06000;173,93000;351,95000;
7; 221,76250;data;71 ;67 ;116 ;2547 ;6893;var;13,21213; 23,43283; 9,47285; 1719,07261; 258,01046; ;eval;165,11000;196,06000;173,93000;351,95000;
8; 221,76250;data;71 ;67 ;116 ;2547 ;6893;var;10,83395; 19,21492; 7,76774; 1409,63954; 211,56858; ;eval;165,11000;196,06000;173,93000;351,95000;
9; 221,76250;data;71 ;67 ;116 ;2547 ;6893;var;8,88384; 15,75624; 6,36954; 1155,90442; 173,48623; ;eval;165,11000;196,06000;173,93000;351,95000;
10; 221,76250;data;71 ;67 ;116 ;2547 ;6893;var;7,28475; 12,92011; 5,22303; 947,84162; 142,25871; ;eval;165,11000;196,06000;173,93000;351,95000;
11; 216,56250;data;74 ;79 ;113 ;1095 ;7042;var;5,97349; 10,59449; 4,28288; 777,23013; 116,65214; ;eval;153,18000;192,98000;165,98000;354,11000;
12; 216,56250;data;74 ;79 ;113 ;1095 ;7042;var;4,89826; 8,68749; 3,51196; 637,32871; 95,65476; ;eval;153,18000;192,98000;165,98000;354,11000;
13; 216,56250;data;74 ;79 ;113 ;1095 ;7042;var;4,01658; 7,12374; 2,87981; 522,60954; 78,43690; ;eval;153,18000;192,98000;165,98000;354,11000;
14; 216,23000;data;74 ;79 ;113 ;726 ;7040;var;3,29359; 5,84147; 2,36144; 428,53982; 64,31826; ;eval;152,79000;193,07000;165,88000;353,18000;
15; 215,63750;data;74 ;78 ;113 ;1339 ;7083;var;2,70075; 4,79000; 1,93638; 351,40266; 52,74097; ;eval;154,02000;187,86000;166,52000;354,15000;
16; 215,42750;data;74 ;79 ;111 ;2084 ;7015;var;2,21461; 3,92780; 1,58783; 288,15018; 43,24760; ;eval;153,95000;184,58000;166,59000;356,59000;
17; 215,42750;data;74 ;79 ;111 ;2084 ;7015;var;1,81598; 3,22080; 1,30202; 236,28315; 35,46303; ;eval;153,95000;184,58000;166,59000;356,59000;
18; 214,03750;data;75 ;82 ;111 ;2499 ;7041;var;1,48910; 2,64105; 1,06766; 193,75218; 29,07968; ;eval;152,56000;182,91000;166,35000;354,33000;
19; 213,93250;data;75 ;82 ;111 ;2013 ;7030;var;1,22107; 2,16566; 0,87548; 158,87679; 23,84534; ;eval;151,87000;183,51000;165,79000;354,56000;
20; 213,93250;data;75 ;82 ;111 ;2013 ;7030;var;1,00127; 1,77584; 0,71789; 130,27897; 19,55318; ;eval;151,87000;183,51000;165,79000;354,56000;
21; 213,44500;data;76 ;83 ;111 ;2026 ;7040;var;0,82104; 1,45619; 0,58867; 106,82875; 16,03361; ;eval;149,23000;183,12000;166,96000;354,47000;
22; 213,44500;data;76 ;83 ;111 ;2026 ;7040;var;0,67326; 1,19408; 0,48271; 87,59958; 13,14756; ;eval;149,23000;183,12000;166,96000;354,47000;
23; 213,44500;data;76 ;83 ;111 ;2026 ;7040;var;0,55207; 0,97914; 0,39582; 71,83165; 10,78100; ;eval;149,23000;183,12000;166,96000;354,47000;
24; 213,44500;data;76 ;83 ;111 ;2026 ;7040;var;0,45270; 0,80290; 0,32458; 58,90196; 8,84042; ;eval;149,23000;183,12000;166,96000;354,47000;
25; 213,44000;data;76 ;83 ;111 ;2015 ;7030;var;0,37121; 0,65838; 0,26615; 48,29960; 7,24914; ;eval;149,17000;183,12000;166,96000;354,51000;
26; 213,44000;data;76 ;83 ;111 ;2015 ;7030;var;0,30439; 0,53987; 0,21824; 39,60567; 5,94430; ;eval;149,17000;183,12000;166,96000;354,51000;
27; 213,44000;data;76 ;83 ;111 ;2015 ;7030;var;0,24960; 0,44269; 0,17896; 32,47665; 4,87432; ;eval;149,17000;183,12000;166,96000;354,51000;
28; 213,44000;data;76 ;83 ;111 ;2015 ;7030;var;0,20467; 0,36301; 0,14675; 26,63086; 3,99695; ;eval;149,17000;183,12000;166,96000;354,51000;
29; 213,44000;data;76 ;83 ;111 ;2015 ;7030;var;0,16783; 0,29767; 0,12033; 21,83730; 3,27750; ;eval;149,17000;183,12000;166,96000;354,51000;
30; 213,44000;data;76 ;83 ;111 ;2015 ;7030;var;0,13762; 0,24409; 0,09867; 17,90659; 2,68755; ;eval;149,17000;183,12000;166,96000;354,51000;
31; 213,37250;data;76 ;83 ;111 ;2027 ;7034;var;0,11285; 0,20015; 0,08091; 14,68340; 2,20379; ;eval;149,23000;183,12000;166,96000;354,18000;
